title,cast,director,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,sort_order
Message from the King,"Chadwick Boseman, Luke Evans, Teresa Palmer, Alfred Molina, Natalie Martinez, Tom Felton, Dale Dickey, Sibongile Mlambo",Fabrice Du Welz,tm205870,MOVIE,"On a relentless quest to avenge his sister's murder, a man from Cape Town infiltrates a sprawling network of lowlifes and elites in Los Angeles.",2016,R,102,"['thriller', 'action', 'crime', 'drama', 'european']",['FR'],0.0,tt1712192,6.4,16513.0,15.381,6.2,2
Fractured,"Sam Worthington, Lily Rabe, Stephen Tobolowsky, Adjoa Andoh, Lucy Capri, Lauren Cochrane, Shane Dean",Brad Anderson,tm447963,MOVIE,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.",2019,R,99,['thriller'],['US'],0.0,tt4332232,6.4,72478.0,35.497,6.7,2
Red Joan,"Judi Dench, Sophie Cookson, Nina Sosanya, Tom Hughes, Tereza Srbová, Stephen Campbell Moore, Ben Miles, Freddie Gaminara, Robin Soans, Kevin Fuller",Trevor Nunn,tm433228,MOVIE,"London, England, May 2000. The peaceful life of elderly Joan Stanley is suddenly disrupted when she is arrested by the British Intelligence Service and accused of providing information to communist Russia during the forties.",2018,R,101,"['thriller', 'history', 'romance', 'drama']",['GB'],0.0,tt7615302,6.4,12452.0,13.425,6.7,2
Creep 2,"Mark Duplass, Desiree Akhavan, Karan Soni",Patrick Brice,tm317566,MOVIE,"After finding an ad online for “video work,” Sara, a video artist whose primary focus is creating intimacy with lonely men, thinks she may have found the subject of her dreams. She drives to a remote house in the forest and meets a man claiming to be a serial killer. Unable to resist the chance to create a truly shocking piece of art, she agrees to spend the day with him. However, as the day goes on, she discovers she may have dug herself into a hole from which she can’t escape.",2017,R,80,"['thriller', 'horror', 'crime', 'drama']",['US'],0.0,tt3654796,6.4,25671.0,14.489,6.322,2
Dovlatov,"Milan Maric, Danila Kozlovsky, Helena Sujecka, Artur Beschastny, Anton Shagin, Svetlana Khodchenkova, Elena Lyadova, Piotr Gasowski, Eva Gerr, Hanna Sleszynska",Aleksey German,tm363922,MOVIE,"Dovlatov charts six days in the life of a brilliant, ironic writer who saw far beyond the rigid limits of 70s Soviet Russia. Sergei Dovlatov fought to preserve his own talent and decency with poet and writer Joseph Brodsky, while watching his artist friends got crushed by the iron-willed state machinery.",2018,PG-13,126,['drama'],"['RS', 'PL', 'RU']",0.0,tt7763020,6.4,1994.0,3.554,6.4,2
A Go! Go! Cory Carson Halloween,"Alan C. Lim, Smith Foreman, Maisie Benson, Ann Kendrick, Kerry Gudjohnsen, Paul Killam, Stanley Moore, Tyler Hendrix, Ella Joy Ballesteros, Jimmy Olea","Alex Woo, Stanley Moore",tm938333,MOVIE,"Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?",2020,G,21,"['animation', 'family', 'horror']",[],0.0,tt13058374,6.4,51.0,2.048,7.3,2
Batman: The Killing Joke,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North",Sam Liu,tm239743,MOVIE,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",2016,R,76,"['animation', 'drama', 'action', 'thriller', 'crime']",['US'],0.0,tt4853102,6.4,56275.0,25.747,6.615,2
The Babysitter,"Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino",McG,tm280828,MOVIE,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a Satanic cult that will stop at nothing to keep him quiet.",2017,R,85,"['comedy', 'horror']",['US'],0.0,tt4225622,6.4,86953.0,52.287,6.102,2
Triple Frontier,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Pedro Pascal, Garrett Hedlund, Adria Arjona",J.C. Chandor,tm244207,MOVIE,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",2019,R,125,"['thriller', 'action', 'crime', 'drama']",['US'],0.0,tt1488606,6.4,125883.0,28.54,6.3,2
When We First Met,"Adam DeVine, Alexandra Daddario, Shelley Hennig, Robbie Amell, Andrew Bachelor",Ari Sandel,tm366567,MOVIE,"Noah spends the perfect first night with the girl of his dreams Avery but gets relegated to the friend zone. He spends the next three years wondering what went wrong - until he gets the unexpected chance to travel back in time and alter that night, and his fate, over and over again.",2018,PG-13,97,"['fantasy', 'comedy', 'romance']",['US'],0.0,tt5783956,6.4,48885.0,15.879,6.6,2
The Vault,"Freddie Highmore, Astrid Bergès-Frisbey, Sam Riley, Liam Cunningham, José Coronado, Luis Tosar, Emilio Gutiérrez Caba, Axel Stein, Daniel Holguín, Famke Janssen",Jaume Balagueró,tm1046264,MOVIE,"When an engineer (Freddie Highmore) learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",2021,R,118,"['crime', 'action', 'thriller', 'fantasy']",['ES'],0.0,tt9742794,6.4,21511.0,22.456,5.9,2
Pandigai,"Kreshna, Anandhi, Saravanan, Madhusudhanan, Black Pandi, Nitin Sathyaa, Aruldass, Karunas, Shanmugha Rajan, Prinz Nithik",Feroz,tm246330,MOVIE,"A low-level hotel worker gets involved in a street fighting racket on the advice of a compulsive gambler. When the duo realise they have been duped by the gangster controlling the racket, they decided to rob him…",2017,R,150,"['romance', 'action', 'thriller']",['IN'],0.0,tt7087944,6.3,285.0,1.211,6.5,2
I Care a Lot,"Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest, Chris Messina, Isiah Whitlock Jr., Macon Blair, Alicia Witt, Damian Young",J Blakeson,tm834851,MOVIE,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,2020,R,118,"['drama', 'thriller', 'comedy', 'crime']","['GB', 'US']",0.0,tt9893250,6.3,129321.0,30.192,6.6,2
Concrete Cowboy,"Idris Elba, Caleb McLaughlin, Jharrel Jerome, Byron Bowers, Lorraine Toussaint, Method Man, Ivannah Mercedes, Jamil Prattis, Liz Priestley",Ricky Staub,tm918734,MOVIE,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",2020,R,111,"['western', 'drama']","['US', 'GB']",0.0,tt8846176,6.3,8660.0,8.139,6.2,2
The Mistress,"John Lloyd Cruz, Bea Alonzo, Hilda Koronel, Ronaldo Valdez, Anita Linda, Carmi Martin",Olivia M. Lamasan,tm38331,MOVIE,"A young woman is torn between the affections of her two lovers. One is a young bachelor who brings passion into her life. The other is a married man who has kept her as his mistress for years. Architect JD has a chip on his shoulder about his father Rico never really accepting him as his son. Seamstress Sari struggles to take care of her family. The two meet by chance, and JD aggressively pursues Saris affections. Though the two are clearly a good match, there is a problem standing in the way of their bliss: Sari is the mistress of JDs father. Against his better judgment, JD continues to court Sari even after finding out this difficult fact. He hides his true identity as Ricos son, and fights to win Saris heart.",2012,PG-13,125,"['romance', 'drama']",['PH'],0.0,tt2389344,6.3,361.0,2.635,5.9,2
Jagga Jasoos,"Ranbir Kapoor, Katrina Kaif, Saurabh Shukla, Saswata Chatterjee, Rajatabha Dutta, Saravajeet Tiwari",Anurag Basu,tm307774,MOVIE,A gifted teenage detective searches for his missing father with his ladylove assistant.,2017,PG,180,"['comedy', 'thriller', 'romance', 'action']",['IN'],0.0,tt4129428,6.3,10283.0,6.005,6.0,2
Apostle,"Dan Stevens, Lucy Boynton, Michael Sheen, Mark Lewis Jones, Bill Milner, Kristine Froseth, Paul Higgins, Richard Elfyn, Elen Rhys, Ross O'Hennessy",Gareth Evans,tm271951,MOVIE,"In 1905, a man travels to a remote island in search of his missing sister who has been kidnapped by a mysterious religious cult.",2018,R,130,"['thriller', 'drama', 'horror', 'fantasy']","['US', 'GB']",0.0,tt6217306,6.3,51890.0,14.414,6.1,2
Alex Strangelove,"Daniel Doheny, Madeline Weinstein, Antonio Marziale, Daniel Zolghadri, Annie Q., Nik Dodani, Fred Hechinger, Kathryn Erbe, Isabella Amara, Sophie Faulkenberry",Craig Johnson,tm409618,MOVIE,"Alex Truelove is on a quest to lose his virginity, an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex, a super gregarious dude, is oddly unmotivated. A magical house party throws Alex into the presence of Elliot, a hunky college guy, who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.",2018,R,99,"['comedy', 'drama', 'romance']",['US'],0.0,tt5688996,6.3,17746.0,16.093,6.6,2
The World Is Yours,"Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra",Romain Gavras,tm372318,MOVIE,"To escape his life of crime, a Paris drug dealer takes on one last job involving Spain, unhinged gangsters, his longtime crush and his scheming mother.",2018,R,94,"['comedy', 'crime', 'european']",['FR'],0.0,tt6892462,6.3,4342.0,8.637,6.8,2
The Willoughbys,"Will Forte, Maya Rudolph, Ricky Gervais, Alessia Cara, Terry Crews, Jane Krakowski, Martin Short, Seán Cullen",Kris Pearn,tm849005,MOVIE,"When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their Old-Fashioned values to the contemporary world in order to create something new: The Modern Family.",2020,PG,92,"['comedy', 'fantasy', 'animation', 'drama', 'family']",['CA'],0.0,tt5206260,6.3,18662.0,22.543,7.1,2
A Princess for Christmas,"Katie McGrath, Sir Roger Moore, Sam Heughan, Travis Turner, Leilah de Meza, Miles Richardson, Charlotte Salt",Michael Damian,tm160361,MOVIE,"After her sister and brother-in-law's tragic death, an American woman who is the guardian for her young niece and nephew is invited to a royal European castle for Christmas by her late brother-in-law's father, the Duke of Castlebury. Feeling out of place as a commoner, she is determined to give her family a merry Christmas and surprises herself when she falls for a handsome prince.",2011,PG,89,"['family', 'romance', 'comedy', 'drama']",['US'],0.0,tt1083448,6.3,8268.0,22.33,7.1,2
The Stand at Paxton County,"Jacqueline Toboni, Michael O'Neill, Tyler Jacob Moore, Christopher McDonald, Sean O'Bryan, Blake Sheldon, Zoe Kanters, Greg Perrow, Tanner Thomason",Brett Hedlund,tm889647,MOVIE,A military veteran comes home to find her father harassed by a sheriff intent on confiscating the livestock on their ranch under shady pretenses.,2020,R,102,"['thriller', 'drama']",['US'],0.0,tt8362228,6.3,1103.0,5.838,6.0,2
The Take,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini, Jérôme Gaspard",James Watkins,tm205890,MOVIE,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy.",2016,R,92,"['action', 'drama', 'crime', 'thriller']","['US', 'FR', 'LU', 'GB']",0.0,tt2368619,6.3,43449.0,17.563,6.3,2
He Never Died,"Henry Rollins, Booboo Stewart, Kate Greenhouse, Jordan Todosey, David Richmond-Peck, James Cade, Don Francks, Steven Ogg",Jason Krawczyk,tm200126,MOVIE,Jack is a solitary man with a mysterious past. His strange habits will soon become stranger when his past catches up with him.,2015,R,99,"['fantasy', 'horror', 'comedy', 'drama', 'thriller']","['US', 'CA']",0.0,tt2386404,6.3,20376.0,10.541,6.1,2
ARQ,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal",Tony Elliott,tm244403,MOVIE,Two old friends living in a dystopic future become trapped in a mysterious time loop — one that may have something to do with an ongoing battle between an omnipotent corporation and a ragtag band of rebels.,2016,R,88,"['scifi', 'thriller', 'action']",['US'],0.0,tt5640450,6.3,39108.0,20.157,6.1,2
Feel the Beat,"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Eva Hauge, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Justin Allan, Carina Battrick, Kai Zen, Marissa Jaret Winokur, Enrico Colantoni, Dennis Andres",Elissa Down,tm894619,MOVIE,"After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition.",2020,G,107,"['comedy', 'drama', 'family']","['US', 'CA']",0.0,tt10714856,6.3,10967.0,18.004,7.7,2
The Laundromat,"Meryl Streep, Gary Oldman, Antonio Banderas, Sharon Stone, James Cromwell, Jeffrey Wright, Melissa Rauch, Jeff Michalski, Jane Morris, Robert Patrick, David Schwimmer",Steven Soderbergh,tm428557,MOVIE,"When her idyllic vacation takes an unthinkable turn, Ellen Martin begins investigating a fake insurance policy, only to find herself down a rabbit hole of questionable dealings that can be linked to a Panama City law firm and its vested interest in helping the world's wealthiest citizens amass larger fortunes.",2019,R,96,"['drama', 'history', 'comedy', 'crime']",['US'],0.0,tt5868244,6.3,49391.0,10.319,6.0,2
The Paper Tigers,"Alain Uy, Ron Yuan, Mykel Shannon Jenkins, Jae Suh Park, Matthew Page, Joziah Lagonoy, Raymond Ma",Quoc Bao Tran,tm927718,MOVIE,Three middle aged men polish their martial arts skills to avenge their fallen master.,2020,PG-13,110,"['comedy', 'action']",['US'],0.0,tt6060444,6.3,4341.0,4.665,6.9,2
Spectral,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini, Clayne Crawford, Cory Hardrict, Louis Ozawa Changchien, Jimmy Akingbola, Dylan Smith, Philip Bulcock",Nic Mathieu,tm204035,MOVIE,A special-ops team is dispatched to fight supernatural beings that have taken over a European city.,2016,PG-13,109,"['thriller', 'action', 'scifi']",['US'],0.0,tt2106651,6.3,59040.0,30.663,6.43,2
Dharam Sankat Mein,"Paresh Rawal, Annu Kapoor, Alka Badola Kaushal, Auritra Ghosh, Naseeruddin Shah, Manoj Raghubir Sharma, Rushita Pandya, Murli Sharma",Fuwad Khan,tm211424,MOVIE,The film revolves around a Hindu man (Paresh Rawal) who goes through an identity crisis when he discovers he was adopted as a son in a Hindu family but was born in a Muslim family. The journey starts with finding his real father.,2015,PG-13,129,"['comedy', 'drama', 'family', 'fantasy', 'thriller']",['IN'],0.0,tt4354740,6.3,2262.0,3.51,7.0,2
Jinxed,"Ciara Bravo, Jacob Bertrand, Elena Kampouris, Jack Griffo, Donavon Stinson, Keegan Connor Tracy, Jay Brazeau",Stephen Herek,tm180643,MOVIE,"Meet the Murphys, a family with never ending bad luck. ""Anything that can go wrong, will go wrong,"" it's Murphy's law! Over a century ago a witch put a magical curse on their great-great grandfather and the whole family has been jinxed for generations! After Meg Murphy (played by Big Time Rush's Ciara Bravo) and her family's house is destroyed in yet another freak accident, the family moves into their grandfather's house in Harvest Hills. In a not-so-strange case of bad luck, Meg's nemesis Ivy is also spending the summer in town. But things start to look up, kind of, when Meg meets a local boy named Brett and he casts another spell on her, a love spell that is! With help from her brother Charlie, Meg more determined than ever, must break the hex on her catastrophically cursed family! Watch this doomed teen try for a normal existence in a world full of hijinks!",2013,G,70,"['comedy', 'family']","['CA', 'US']",0.0,tt2934844,6.3,1488.0,6.357,6.7,2
