title,cast,director,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,sort_order
David Attenborough: A Life on Our Planet,David Attenborough,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",tm853783,MOVIE,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.",2020,PG,83,['documentation'],['GB'],0.0,tt11989890,8.9,31625.0,15.935,8.5,2
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas",Christopher Nolan,tm92641,MOVIE,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010,PG-13,148,"['action', 'scifi', 'music', 'thriller']","['US', 'GB']",0.0,tt1375666,8.8,2294231.0,108.284,8.4,2
Bo Burnham: Inside,Bo Burnham,Bo Burnham,tm1038686,MOVIE,"Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.",2021,R,87,"['comedy', 'drama', 'music', 'reality']",['US'],0.0,tt14544192,8.7,44074.0,11.434,8.2,2
The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Anthony Anderson, Alec Baldwin, Kevin Corrigan",Martin Scorsese,tm27911,MOVIE,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006,R,151,"['drama', 'thriller', 'crime', 'action']",['US'],0.0,tt0407887,8.5,1296244.0,33.795,8.2,2
Harishchandrachi Factory,"Nandu Madhav, Vibhawari Deshpande, Ambarish Deshpande, Mohit Gokhale, Dilip Joglekar, Dheeresh Joshi, Ketan Karande, Atharva Karve, Mayur Khandge, Sandip Pathak",Paresh Mokashi,tm143510,MOVIE,The movie depicts efforts and struggle by Dadasaheb Falke for creating first motion picture in India - Raja Harishchandra.,2009,G,96,"['comedy', 'drama', 'history']",['IN'],0.0,tt1524539,8.4,2498.0,2.115,7.0,2
Django Unchained,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson",Quentin Tarantino,tm41792,MOVIE,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012,R,165,"['western', 'drama']",['US'],0.0,tt1853728,8.4,1472668.0,66.924,8.15,2
Black Friday,"Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun",Anurag Kashyap,tm86051,MOVIE,"Bombs tear through Bombay, wreaking havoc and polarising the citizens. With perpetrators at large, the state launches a massive drive to unmask the truth behind these events.",2004,R,161,"['crime', 'history', 'action', 'drama']",['IN'],0.0,tt0400234,8.4,20768.0,5.753,7.4,2
Super Deluxe,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan, Mysskin, Gayathrie, Ashwanth Ashok Kumar, Bagavathi Perumal",Thiagarajan Kumararaja,tm283581,MOVIE,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.",2019,NC-17,176,"['comedy', 'thriller', 'drama', 'action', 'crime']",['IN'],0.0,tt7822432,8.4,13680.0,7.084,7.8,2
Dave Chappelle: Sticks & Stones,Dave Chappelle,Stan Lathan,tm827142,MOVIE,"Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in this defiant stand-up special.",2019,R,65,['comedy'],['US'],0.0,tt10810424,8.4,26075.0,7.885,7.646,2
3 Idiots,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",Rajkumar Hirani,tm142564,MOVIE,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",2009,PG-13,170,"['drama', 'comedy']",['IN'],0.0,tt1187043,8.4,390739.0,44.999,8.0,2
Andhadhun,"Tabu, Ayushmann Khurrana, Radhika Apte, Anil Dhawan, Manav Vij, Zakir Hussain, Ashwini Kalsekar, Chhaya Kadam, Pawan Singh, Kabir Sajid",Sriram Raghavan,tm423373,MOVIE,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,2018,R,139,"['thriller', 'drama', 'comedy', 'crime', 'music']",['IN'],0.0,tt8108198,8.2,90237.0,13.893,7.7,2
Sudani from Nigeria,"Soubin Shahir, Samuel Abiola Robinson, Savithri Sredharan, Aneesh Menon",Zakariya,tm372061,MOVIE,"When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences.",2018,PG,123,"['comedy', 'drama', 'sport']",['IN'],0.0,tt7581572,8.2,4159.0,2.372,7.1,2
Hikaru Utada Laughter in the Dark Tour 2018,Hikaru Utada,,tm817542,MOVIE,"Celebrating twenty years since her debut, Hikaru Utada takes the stage at Makuhari Messe for the final performance of her Laughter in the Dark Tour.",2019,G,141,"['music', 'documentation', 'comedy']",['JP'],0.0,tt10556746,8.2,92.0,2.275,8.0,2
Paan Singh Tomar,"Irrfan Khan, Mahie Gill, Rajendra Gupta, Brijendra Kala, Jahangir Khan, Vipin Sharma, Zakir Hussain",Tigmanshu Dhulia,tm35700,MOVIE,Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.,2012,PG,135,"['drama', 'crime', 'sport', 'thriller', 'action']",['IN'],0.0,tt1620933,8.2,36077.0,4.424,7.4,2
Drishyam,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, Ishita Dutta, Mrunal Jadhav, Prasanna Ketkar, Yogesh Sonam, Prathamesh Parab, Rishabh Chaddha",Nishikant Kamat,tm218052,MOVIE,"A simple, street-smart man tries to protect his family from a tough cop looking for his missing son.",2015,R,163,"['thriller', 'crime', 'drama']",['IN'],0.0,tt4430212,8.2,80320.0,9.208,7.9,2
Rush,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie",Ron Howard,tm176864,MOVIE,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,2013,R,123,"['drama', 'action', 'sport', 'european']","['US', 'DE', 'GB']",0.0,tt1979320,8.1,471586.0,29.759,7.7,2
Haider,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, Irrfan Khan, Narendra Jha",Vishal Bhardwaj,tm148910,MOVIE,A young man returns to Kashmir after his father's disappearance to confront his uncle - the man he suspects to have a role in his father's fate.,2014,PG-13,150,"['action', 'drama', 'thriller', 'crime']",['IN'],0.0,tt3390572,8.1,54709.0,7.372,7.1,2
Rang De Basanti,"Aamir Khan, Siddharth, Atul Kulkarni, Sharman Joshi, Kunal Kapoor, Alice Patten, Soha Ali Khan, Waheeda Rehman, Kiron Kher, Om Puri, Anupam Kher, Madhavan",Rakeysh Omprakash Mehra,tm32885,MOVIE,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",2006,PG-13,157,"['drama', 'history', 'comedy', 'crime']",['IN'],0.0,tt0405508,8.1,118477.0,6.848,7.2,2
Swades,"Shah Rukh Khan, Gayatri Joshi, Kishori Balal, Smith Seth, Lekh Tandon, Rajesh Vivek, Daya Shankar Pandey, Farrukh Jaffar",Ashutosh Gowariker,tm82765,MOVIE,"NASA employee Mohan Bhargav comes to India to take his grandmother along with him at his home abroad. During his stay at his native place, he comes across various social issues faced by the villagers and decides to take a stand for them, to improve their quality of life.",2004,G,189,"['drama', 'european']","['IN', 'US']",0.0,tt0367110,8.1,89556.0,10.352,7.4,2
Queen,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko, Jeffrey Chee Eng Ho, Marco Canadea, Sabeeka Imam, Yogendra Tikku",Vikas Bahl,tm156811,MOVIE,"Rani, a 24-year-old homely girl, decides to go on her honeymoon alone when her fiancé calls off the wedding. Traveling around Europe, she finds joy, makes friends, and gains new-found independence.",2014,PG-13,146,"['comedy', 'drama']",['IN'],0.0,tt3322420,8.1,65418.0,8.434,7.4,2
Klaus,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack",Sergio Pablos,tm375883,MOVIE,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",2019,PG,96,"['fantasy', 'comedy', 'family', 'animation', 'european']",['ES'],0.0,tt4729430,8.1,143737.0,20.85,8.3,2
PK,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",Rajkumar Hirani,tm147913,MOVIE,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.",2014,PG-13,153,"['drama', 'comedy', 'scifi', 'romance', 'fantasy']",['IN'],0.0,tt2338151,8.1,181406.0,10.001,7.7,2
Dil Chahta Hai,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan",Farhan Akhtar,tm61056,MOVIE,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",2001,G,184,"['romance', 'comedy', 'drama']",['IN'],0.0,tt0292490,8.1,71586.0,5.704,7.0,2
Barfi!,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla, Ashish Vidyarthi, Rupa Ganguly, Bholaraj Sapkota, Jishu Sengupta, Haradhan Bannerjee",Anurag Basu,tm68436,MOVIE,"He is cute. He's shrewd. The girls love him. The cops hate him. He can't speak but is always talked about. His naughty antics will make you scream, but he will never listen. Cos he can't! Next summer ride a rollercoaster of emotions with Barfii - the Chalu Chaplin!",2012,G,151,"['drama', 'romance', 'comedy']",['IN'],0.0,tt2082197,8.1,81198.0,7.897,7.5,2
Udaan,"Rajat Barmecha, Ronit Roy, Ram Kapoor, Aayan Boradia, Manjot Singh, Anand Tiwari, Raja Hudda, Shaunak Sengupta, Varun Khettry, Akshay Sachdev",Vikramaditya Motwane,tm103732,MOVIE,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",2010,R,138,['drama'],['IN'],0.0,tt1639426,8.1,44862.0,5.019,7.3,2
Zindagi Na Milegi Dobara,"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin, Deepti Naval, Naseeruddin Shah, Ariadna Cabrol",Zoya Akhtar,tm182125,MOVIE,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?",2011,PG,166,"['romance', 'drama', 'comedy']",['IN'],0.0,tt1562872,8.1,76565.0,11.997,7.6,2
Catch Me If You Can,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin",Steven Spielberg,tm111828,MOVIE,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",2002,PG-13,141,"['drama', 'crime']",['US'],0.0,tt0264464,8.1,952602.0,72.321,8.0,2
Ricky Gervais: Humanity,Ricky Gervais,John L. Spencer,tm375912,MOVIE,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally.",2018,R,79,['comedy'],['GB'],0.0,tt7830574,8.0,19752.0,8.01,7.7,2
The Battered Bastards of Baseball,"Todd Field, Kurt Russell","Chapman Way, Maclain Way",tm148976,MOVIE,Hollywood veteran Bing Russell creates the only independent baseball team in the country—alarming the baseball establishment and sparking the meteoric rise of the 1970s Portland Mavericks.,2014,R,80,"['documentation', 'sport']",['US'],0.0,tt3445270,8.0,4043.0,6.367,7.6,2
Ip Man,"Donnie Yen, Simon Yam, Louis Fan, Lam Ka Tung, Xing Yu, Wong You-nam, Chen Zhi Hui, Lynn Hung, Hiroyuki Ikeuchi",Wilson Yip,tm30205,MOVIE,"A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.",2008,R,106,"['drama', 'fantasy', 'comedy', 'history', 'action']",['HK'],0.0,tt1220719,8.0,222372.0,21.074,7.7,2
Jeff Dunham: Arguing with Myself,Jeff Dunham,Manny Rodriguez,tm30289,MOVIE,"A recorded live performance of ventriloquist Jeff Dunham portrays a comedian whose revival of an old-fashioned art has made ventriloquism more relevant to modern societal concerns. Starring his six main characters, from Bubba Jay, a Nascar-obsessed hick, to Peanut, a flamboyant gay monkey, Dunham’s puppets have dirty but inoffensive senses of humor that mock the American Dream.",2006,PG-13,76,"['comedy', 'documentation']",['US'],0.0,tt0806102,8.0,4000.0,5.406,6.6,2
The Pursuit of Happyness,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer",Gabriele Muccino,tm20959,MOVIE,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,2006,PG-13,117,"['drama', 'european']",['US'],0.0,tt0454921,8.0,501457.0,47.893,7.9,2
Dev.D,"Abhay Deol, Mahie Gill, Kalki Koechlin, Sindbad Phgura, Ammo 'Too Sweet', Jimi the Quiff, Parakh Madan",Anurag Kashyap,tm134407,MOVIE,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.",2009,PG-13,141,"['comedy', 'drama', 'romance']",['IN'],0.0,tt1327035,7.9,30567.0,7.069,6.9,2
Marriage Story,"Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever, Azhy Robertson",Noah Baumbach,tm403709,MOVIE,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",2019,R,136,"['drama', 'romance', 'comedy']",['GB'],0.0,tt7653254,7.9,298303.0,28.268,7.8,2
John Mulaney: Kid Gorgeous at Radio City,John Mulaney,Alex Timbers,tm411507,MOVIE,"John Mulaney relays stories from his childhood and ""SNL,"" eviscerates the value of college and laments getting older in this electric comedy special.",2018,R,64,['comedy'],['US'],0.0,tt8271714,7.9,7933.0,5.009,8.0,2
Pad Man,"Akshay Kumar, Sonam Kapoor, Radhika Apte, Jyoti Subhash, Urmila Mahanta, Suneel Sinha, Sanjay Singh, Rakesh Chaturvedi Om",R. Balki,tm313424,MOVIE,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",2018,PG-13,140,"['drama', 'comedy']",['IN'],0.0,tt7218518,7.9,25539.0,5.173,7.5,2
Kal Ho Naa Ho,"Shah Rukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bhaduri, Sushma Seth, Reema Lagoo, Lillete Dubey, Delnaaz Paul",Nikkhil Advani,tm144345,MOVIE,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",2003,PG,186,"['drama', 'romance', 'comedy']",['IN'],0.0,tt0347304,7.9,68551.0,12.001,7.5,2
Mission Blue,"James Cameron, Michael deGruy, Sylvia Earle, Bryce Groark, Jeremy Jackson, Carl Safina","Robert Nixon, Fisher Stevens",tm149578,MOVIE,"Feature documentary about legendary oceanographer, marine biologist, environmentalist and National Geographic Explorer-in-Residence Sylvia Earle, and her campaign to create a global network of protected marine sanctuaries",2014,PG,94,"['documentation', 'drama']",['US'],0.0,tt2004304,7.9,1991.0,4.029,7.5,2
John Mulaney: The Comeback Kid,John Mulaney,Rhys Thomas,tm229542,MOVIE,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",2015,PG,62,"['comedy', 'documentation']",['US'],0.0,tt5069564,7.9,8595.0,4.784,7.8,2
Septembers of Shiraz,"Adrien Brody, Salma Hayek, Shohreh Aghdashloo, Alon Aboutboul, Navid Navid, Ariana Molkara, Nasser Memarzia, Jamie Ward, Anthony Azizi, Liron Levo, Gabriella Wright",Wayne Blair,tm218186,MOVIE,"In this adaptation of the critically acclaimed debut novel by Iranian American author Dalia Sofer, a secular Jewish family is caught up in the maelstrom of the 1979 Iranian Revolution.",2015,PG-13,110,"['drama', 'thriller', 'western']",['US'],0.0,tt3661298,7.9,38.0,8.065,5.7,2
Jab We Met,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh, Pavan Malhotra, Kamal Tiwari, Kiran Juneja, Divya Seth, Saumya Tandon",Imtiaz Ali,tm76835,MOVIE,A depressed wealthy businessman and a spunky and care-free young woman embark on an unexpected journey that changes their lives.,2007,PG-13,144,"['romance', 'comedy', 'drama']",['IN'],0.0,tt1093370,7.9,52531.0,8.69,7.4,2
Lakshya,"Amitabh Bachchan, Hrithik Roshan, Preity Zinta, Om Puri, Sharad Kapoor, Rajendranath Zutshi, Sushant Singh, Prashant Chainani, Shakeel Khan, Ranvir Shorey",Farhan Akhtar,tm96595,MOVIE,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",2004,G,186,"['war', 'action', 'drama', 'romance']",['IN'],0.0,tt0323013,7.8,23262.0,7.299,6.6,2
Hunt for the Wilderpeople,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",Taika Waititi,tm232579,MOVIE,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",2016,PG-13,101,"['drama', 'comedy']",['NZ'],0.0,tt4698684,7.8,128676.0,11.591,7.7,2
How to Train Your Dragon 2,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Djimon Hounsou, Kit Harington",Dean DeBlois,tm134967,MOVIE,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",2014,PG,102,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],0.0,tt1646971,7.8,330975.0,134.7,7.67,2
Nightcrawler,"Jake Gyllenhaal, Rene Russo, Riz Ahmed, Bill Paxton, Kevin Rahm, Michael Hyatt, Ann Cusack, Marco Rodriguez, Michael Papajohn, Kent Shocknek, James Huang",Dan Gilroy,tm151663,MOVIE,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",2014,R,118,"['thriller', 'crime', 'drama']",['US'],0.0,tt2872718,7.8,531779.0,57.276,7.7,2
Dhh,"Naseeruddin Shah, Kahaan, Kuldeep Sodha",Manish Saini,tm430281,MOVIE,"Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies.",2018,R,126,"['drama', 'family']",['IN'],0.0,tt7613166,7.8,346.0,1.533,9.0,2
Berserk: The Golden Age Arc III - The Advent,"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari, Yuki Kaji, Yoshiro Matsumoto, Minako Kotobuki, Takahiro Fujiwara, Kazuki Yao, Yuichi Nakamura, Aki Toyosaki, Akio Otsuka",Toshiyuki Kubooka,tm167944,MOVIE,"A year has passed since Guts parted ways with the Band of the Hawks. Meanwhile, his former mercenary group is plotting a rescue mission to save an imprisoned Griffith.",2013,NC-17,110,"['drama', 'fantasy', 'animation', 'action', 'romance', 'horror']",['JP'],0.0,tt2358913,7.8,10173.0,41.099,7.6,2
The Irishman,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Kathrine Narducci, Welker White, Jesse Plemons, Jack Huston, Domenick Lombardozzi, Louis Cancelmi, Paul Herman, Gary Basaraba, Marin Ireland, Sebastian Maniscalco, Steven Van Zandt",Martin Scorsese,tm244149,MOVIE,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",2019,R,209,"['crime', 'drama', 'history', 'thriller']",['US'],0.0,tt1302006,7.8,376379.0,21.075,7.6,2
Judah Friedlander: America Is the Greatest Country in the United States,Judah Friedlander,Judah Friedlander,tm356666,MOVIE,"Deadpan comic and self-proclaimed world champion Judah Friedlander performs over several nights in New York, explaining why America is No. 1.",2017,R,84,"['comedy', 'documentation']",['US'],0.0,tt7582890,7.8,1447.0,2.281,7.4,2
The Hateful Eight,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen, Bruce Dern, James Parks, Dana Gourrier, Channing Tatum, Zoë Bell",Quentin Tarantino,tm138905,MOVIE,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,2015,R,188,"['thriller', 'western', 'drama', 'crime']",['US'],0.0,tt3460252,7.8,570138.0,26.531,7.737,2
Badla,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Tony Luke, Manav Kaul",Sujoy Ghosh,tm458328,MOVIE,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,2019,PG-13,120,"['thriller', 'crime', 'drama']",['IN'],0.0,tt8130968,7.8,27539.0,10.588,7.4,2
Wind River,"Jeremy Renner, Elizabeth Olsen, Jon Bernthal, Gil Birmingham, Kelsey Asbille, Tantoo Cardinal, Teo Briones, Matthew Del Negro, Hugh Dillon, Julia Jones, James Jordan, Eric Lange, Martin Sensmeier, Mason Davis, Graham Greene",Taylor Sheridan,tm244259,MOVIE,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,2017,R,107,"['thriller', 'crime', 'drama', 'western']","['FR', 'GB', 'US']",0.0,tt5362988,7.7,244463.0,26.743,7.427,2
The Butterfly's Dream,"Kıvanç Tatlıtuğ, Mert Fırat, Belçim Bilgin, Farah Zeynep Abdullah, Yılmaz Erdoğan, Ahmet Mümtaz Taylan, Taner Birsel, Selman Ünlüsoy, İpek Bilgin, Aksel Bonfil, Devrim Yakut, Salih Kalyon",Yılmaz Erdoğan,tm172027,MOVIE,"In a small Turkish town, two young tuberculous poets try to survive while publishing their poems. As they both fall in love, their life would never be the same.",2013,PG-13,138,"['drama', 'history', 'romance']",['TR'],0.0,tt2608224,7.7,22191.0,5.576,7.3,2
Kapoor & Sons,"Rishi Kapoor, Sidharth Malhotra, Fawad Khan, Alia Bhatt, Ratna Pathak Shah, Rajat Kapoor",Shakun Batra,tm233344,MOVIE,"Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays.",2016,PG-13,140,"['drama', 'romance', 'comedy', 'family']",['IN'],0.0,tt4900716,7.7,26130.0,8.129,7.0,2
Beasts of No Nation,"Idris Elba, Abraham Attah, Kurt Egyiawan, Jude Akuwudike, Emmanuel ""King Kong"" Nii Adom Quaye, Ama K. Abebrese, Kobina Amissah Sam, Francis Weddey, Richard Pepple",Cary Joji Fukunaga,tm136257,MOVIE,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.",2015,R,137,"['drama', 'war']","['GH', 'US']",0.0,tt1365050,7.7,80750.0,10.424,7.6,2
Udta Punjab,"Shahid Kapoor, Kareena Kapoor, Alia Bhatt, Diljit Dosanjh, Satish Kaushik, Suhail Nayyar, Prabhjyot Singh, Harpreet Singh, Manav Vij, Taran Bajaj",Abhishek Chaubey,tm240162,MOVIE,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a policeman, a doctor, a migrant worker, and a rockstar.",2016,R,148,"['drama', 'action', 'crime']",['IN'],0.0,tt4434004,7.7,30276.0,8.861,7.2,2
Mumbai Meri Jaan,"Madhavan, Irrfan Khan, Soha Ali Khan, Paresh Rawal, Kay Kay Menon, Anand Goradia, Vijay Maurya, Vibhavari Deshpande, Santosh Juvekar, Kamlesh Sawant",Nishikant Kamat,tm35652,MOVIE,"Shortly after 1800 hours, 11 July 2006, Mumbai was shattered by seven bomb blasts on Western Railway stations: Matunga, Mahim, Khar, Bandra, Jogeshwari, Borivali, and Bhayandar. It took the Police and ambulance over an hour to attend at various sites. This incident changes lives of Thomas, originally from Chennai, who sells tea from his bike; Rupali Joshi, a TV News reporter, who has to deal with the death of her to-be spouse, Ajay Kumar Pradhan; Suresh, in debt, starts to suspect all Muslims, especially Yusuf; Inspector Tukaram Patil, about to retire, goes about collecting bribes as usual, much to the chagrin of his embittered, honest and soon to-be suspended subordinate, Sunil Kadam; while Nikhil Agarwal, a Nationalist and environmentalist, debates whether he should re-locate to the United States, along with his pregnant wife, Sejal.",2008,PG-13,119,['drama'],['IN'],0.0,tt1266583,7.7,6354.0,2.955,6.9,2
Jim Jefferies: Freedumb,Jim Jefferies,Ryan Polito,tm245148,MOVIE,"Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee.",2016,R,86,"['comedy', 'documentation']",['US'],0.0,tt5849950,7.7,5420.0,4.802,7.3,2
